,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,네이마르: 퍼펙트 카오스,1.0,2022,77,6.6,3000,"['다큐멘터리', '스포츠']",55,15.0,3.0,,https://images.justwatch.com/poster/261239380/s592/시즌-1,https://www.justwatch.com/images/backdrop/259371550/s1440/시즌-1,['http://www.netflix.com/title/81005126'],['Netflix']
1,데이비드 장의 맛있는 하루,1.0,2019,72,6.7,1000,['다큐멘터리'],44,,4.0,,https://images.justwatch.com/poster/153603229/s592/시즌-1,https://www.justwatch.com/images/backdrop/152819086/s1440/시즌-1,['http://www.netflix.com/title/81038022'],['Netflix']
2,우리의 목소리가 울려 퍼지면,,2020,71,6.9,0,['다큐멘터리'],90,,,지역 결선을 거쳐 브로드웨이 무대까지 왔다! 명망 있는 오거스트 윌슨 독백 대회에 참가하는 여섯 명의 학생 배우들. 열정 넘치는 그들이 명작에 새로운 목소리를 싣는다.,https://images.justwatch.com/poster/238008715/s592/uriyi-mogsoriga-ulryeo-peojimyeon,https://www.justwatch.com/images/backdrop/238008716/s1440/uriyi-mogsoriga-ulryeo-peojimyeon,['http://www.netflix.com/title/81290388'],['Netflix']
3,화염과의 사투,1.0,2017,69,6.6,0,['다큐멘터리'],55,12.0,4.0,해마다 피해 규모가 커지는 캘리포니아의 대형 산불. 주민들의 생명과 재산을 보호하려는 관계 당국과 지역 소방 대원들은 잠시도 긴장을 늦출 수 없다.,https://images.justwatch.com/poster/77329664/s592/시즌-1,https://www.justwatch.com/images/backdrop/205190280/s1440/시즌-1,['http://www.netflix.com/title/80117902'],['Netflix']
4,빛으로 그린 이야기,1.0,2015,84,8.2,1000,['다큐멘터리'],24,,6.0,,https://images.justwatch.com/poster/13041109/s592/시즌-1,https://www.justwatch.com/images/backdrop/105477211/s1440/시즌-1,['http://www.netflix.com/title/80133187'],['Netflix']
5,빛으로 그린 이야기,2.0,2016,84,8.2,1000,['다큐멘터리'],35,,6.0,,https://images.justwatch.com/poster/12410496/s592/시즌-2,https://www.justwatch.com/images/backdrop/105477211/s1440/시즌-2,['http://www.netflix.com/title/80133187'],['Netflix']
6,빛으로 그린 이야기,3.0,2018,84,8.2,1000,['다큐멘터리'],23,,6.0,A look behind the photographs of talented Australian and North American photographers to see exactly what goes into capturing a powerful image.,https://images.justwatch.com/poster/183803773/s592/시즌-3,https://www.justwatch.com/images/backdrop/105477211/s1440/시즌-3,['http://www.netflix.com/title/80133187'],['Netflix']
7,희망의 딸들,1.0,2017,85,8.6,0,['다큐멘터리'],61,12.0,4.0,,https://images.justwatch.com/poster/302896744/s592/시즌-1,https://www.justwatch.com/images/backdrop/68468564/s1440/시즌-1,['http://www.netflix.com/title/80092926'],['Netflix']
8,낙원에서 살아남기: 가족의 이야기,,2022,80,7.5,0,['다큐멘터리'],78,,,칼라하리 사막의 건기가 악화되면서 사자를 비롯한 동물 무리들은 살아남기 위해 가족의 힘에 의지해야 한다. 야생 동물의 삶을 담아낸 작품.,https://images.justwatch.com/poster/264272297/s592/surviving-paradise-a-family-tale,https://www.justwatch.com/images/backdrop/264272298/s1440/surviving-paradise-a-family-tale,['http://www.netflix.com/title/81353947'],['Netflix']
9,미래의 이것,1.0,2022,60,5.4,0,['다큐멘터리'],20,12.0,12.0,업계 전문가들과 함께 새롭게 부상하는 기술 발전 동향을 살펴보고 이러한 발전이 어떤 획기적인 변화를 가져올 수 있을지 상상해보는 혁신적 다큐시리즈.,https://images.justwatch.com/poster/285361356/s592/시즌-1,https://www.justwatch.com/images/backdrop/285361357/s1440/시즌-1,['http://www.netflix.com/title/81123425'],['Netflix']
10,"밥 로스: 행복한 사고, 배신과 탐욕",,2021,75,6.9,6000,['다큐멘터리'],93,,,"그림 그리기의 즐거움을 세상에 가르친 화가, 밥 로스. 그의 인생에 드리운 명암을 배울 시간이다. 밥 아저씨가 그린 행복한 나무도 사업이 가져온 배신과 탐욕의 그림자로부터 자유롭지 못했다.",https://images.justwatch.com/poster/250071441/s592/bob-ross-happy-accidents-betrayal-and-greed,https://www.justwatch.com/images/backdrop/250091031/s1440/bob-ross-happy-accidents-betrayal-and-greed,['http://www.netflix.com/title/81155081'],['Netflix']
11,기예르모 델토로의 피노키오: 손끝으로 빚어낸 시네마,,2022,44,0.0,0,['다큐멘터리'],37,,,"애니메이터들의 노고와 타임 랩스 촬영이 결합해 황홀한 영상이 탄생했다. 수년에 걸쳐 제작된 특별한 동화가 완성되기까지, 얼마나 많은 예술혼을 작품에 쏟아부었는지 카메라 뒤의 제작 과정을 조명하는 스페셜.",https://images.justwatch.com/poster/302116825/s592/guillermo-del-toros-pinocchio-handcarved-cinema,https://www.justwatch.com/images/backdrop/302034191/s1440/guillermo-del-toros-pinocchio-handcarved-cinema,['http://www.netflix.com/title/81639893'],['Netflix']
12,초자연 현상의 목격자들,1.0,2018,65,4.7,3000,"['다큐멘터리', '공포', 'Reality TV']",25,,6.0,,https://images.justwatch.com/poster/152625495/s592/시즌-1,https://www.justwatch.com/images/backdrop/152625241/s1440/시즌-1,['http://www.netflix.com/title/80195378'],['Netflix']
13,초자연 현상의 목격자들,2.0,2019,65,4.7,3000,"['다큐멘터리', '공포', 'Reality TV']",26,,6.0,,https://images.justwatch.com/poster/152625273/s592/시즌-2,https://www.justwatch.com/images/backdrop/152625241/s1440/시즌-2,['http://www.netflix.com/title/80195378'],['Netflix']
14,초자연 현상의 목격자들,3.0,2021,65,4.7,3000,"['다큐멘터리', '공포', 'Reality TV']",25,,6.0,,https://images.justwatch.com/poster/245306939/s592/시즌-3,https://www.justwatch.com/images/backdrop/152625241/s1440/시즌-3,['http://www.netflix.com/title/80195378'],['Netflix']
15,무초 무초 아모르: 왈테르 메르카도의 전설,,2020,80,7.3,3000,['다큐멘터리'],96,,,"라틴아메리카를 사로잡은 점성술사, 왈테르 메르카도가 사라졌다. 어디로, 무엇을 위해 은둔한 것일까. 1억 2천만 팬이 사랑한 전설의 마지막 시간을 담은 다큐멘터리.",https://images.justwatch.com/poster/169258114/s592/mucho-mucho-amor,https://www.justwatch.com/images/backdrop/192036507/s1440/mucho-mucho-amor,['http://www.netflix.com/title/81200204'],['Netflix']
16,환생,,2016,55,5.0,5000,"['스릴러', '다큐멘터리']",101,,,"평범한 가장인 카일의 옛 친구 잭은 그를 설득해 ""환생"" 세미나에 참가시키고, 이로 인해 카일의 인생은 유혹과 폭력이 난무하는 사이코드라마의 소용돌이에 휘말리게 된다.",https://images.justwatch.com/poster/176373897/s592/rebirth,https://www.justwatch.com/images/backdrop/304524950/s1440/rebirth,['http://www.netflix.com/title/80064459'],['Netflix']
