,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,행복 목욕탕,,2016,78,7.4,2000,"['드라마', '코미디']",125,,,"이 세상에 다신 없을 강‘철’멘탈 대인배 엄마 ‘후타바’와 가장 서툰 ‘철’없는 아빠 ‘가즈히로’, ‘철’들어가는 사춘기 딸 ‘아즈미’, ‘철’부지 이복동생 '아유코’! 누구보다 강한 엄마의 세상 가장 뜨거운 사랑을 받아가며 특별한 우리 가족은 웃고, 울고, 사랑하며 ‘행복 목욕탕’을 운영합니다. 모든 가족이 가지고 있는 것, ‘비밀’, ‘사랑’, ‘슬픔’, ‘행복’. 하지만 우리 가족에게는 다른 가족보다 더욱 큰 비밀과 뜨거운 사랑, 깊은 슬픔 그리고 따스한 행복이 있습니다.",https://images.justwatch.com/poster/9651142/s592/tang-wofei-kasuhodonore-iai,https://www.justwatch.com/images/backdrop/9651146/s1440/tang-wofei-kasuhodonore-iai,"['http://www.netflix.com/title/81287374', 'https://watcha.com/contents/mWqJyr2', 'https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011230']","['Netflix', 'wavve', 'Watcha']"
1,완벽한 가족이 되는 법,,2021,71,6.4,1000,"['드라마', '코미디']",102,,,자녀 때문에 고민이 이만저만이 아닌 퀘벡의 한 부부. SNS에서의 이미지와 성공에 집착하는 시대에 아이들 키우는 게 쉽지가 않다. 기대가 커질수록 기대와 멀어지는 건 기분 탓일까?,https://images.justwatch.com/poster/248166307/s592/wanbyeoghan-gajogi-doeneun-beob,https://www.justwatch.com/images/backdrop/249166699/s1440/wanbyeoghan-gajogi-doeneun-beob,['http://www.netflix.com/title/81406326'],['Netflix']
2,벨벳 버즈소,,2019,62,5.7,63000,"['공포', '스릴러', '코미디']",112,,,"냉정한 갤러리 운영자와 그녀의 야심에 찬 비서, 그리고 악명 높은 미술 비평가. 이들이 무명 화가의 놀라운 유작을 손에 넣는다. 그 후에 닥칠 재앙은 짐작도 못 한 채.",https://images.justwatch.com/poster/119269413/s592/belbes-beojeuso,https://www.justwatch.com/images/backdrop/94825022/s1440/belbes-beojeuso,['http://www.netflix.com/title/80199689'],['Netflix']
3,지금부터 시작일까,1.0,2021,64,6.5,3000,"['드라마', '코미디']",32,15.0,12.0,,https://images.justwatch.com/poster/301540419/s592/시즌-1,https://www.justwatch.com/images/backdrop/250844492/s1440/시즌-1,['http://www.netflix.com/title/81239671'],['Netflix']
4,매직 카펫 라이드: 도둑들의 도시,,2019,65,6.0,15000,"['범죄', '액션', '코미디', '드라마']",121,15.0,,이스탄불의 노련한 사기꾼 아슴 노얀. 그가 음모에 빠진 딸과 사위를 구하기 위해 나선다. 상대는 지하 도박계의 무자비한 거물. 이기기 위해서는 속이고 또 속여야 한다!,https://images.justwatch.com/poster/262670933/s592/organize-isler-sazan-sarmali,https://www.justwatch.com/images/backdrop/176792577/s1440/organize-isler-sazan-sarmali,['http://www.netflix.com/title/81076251'],['Netflix']
5,리키 저베이스: 인간이 싫어,,2018,84,7.9,21000,['코미디'],78,,,"나이 드는 것도 억울하고, 유명세도 짜증 나. 세상은 갈수록 말세! 7년 만에 무대로 돌아온 리키 저베이스. 그가 한층 업그레이드된 심술보를 장전하고 나타났다. 영국 코미디의 전설, 리키 저베이스가 불치병에 걸렸다! 그 원인은 바로 인간. 인간의 모든 것이 그를 미치게 한다. 그렇다고 지구를 떠날 수는 없으니, 살길을 찾아볼까?",https://images.justwatch.com/poster/249484595/s592/riki-jeobeiseu-ingani-silheo,https://www.justwatch.com/images/backdrop/181802129/s1440/riki-jeobeiseu-ingani-silheo,['http://www.netflix.com/title/80189653'],['Netflix']
6,트러블 메이트,,2017,64,6.1,7000,['코미디'],115,,,이슬람계 최대 명절이 다가오건만 이 남자의 삶은 막막하기만 하다. 직장에서 잘린 와중에 여자 친구의 가족을 만나러 가야 하는데 문제만 첩첩산중. 게다가 여행 동행이란 녀석이 보통 말썽이 아닐 수 없으니. 목적지에 갈 수나 있으려나.,https://images.justwatch.com/poster/302619484/s592/yol-arkadasim,https://www.justwatch.com/images/backdrop/302619485/s1440/yol-arkadasim,[],[]
7,산후조리원,1.0,2020,83,7.7,0,"['드라마', '코미디']",68,15.0,8.0,,https://images.justwatch.com/poster/241932327/s592/시즌-1,https://www.justwatch.com/images/backdrop/241932329/s1440/시즌-1,['http://www.netflix.com/title/81556908'],['Netflix']
8,우리 처음 만났을 때,,2018,72,6.4,51000,"['코미디', '판타지', '로맨스']",97,15.0,,짝사랑하던 여자친구의 약혼식날 시간을 돌릴 수 있다면 그녀를 놓치지 않겠다고 말하는 남자 앞에 시간 여행을 하게 해주는 신비한 포토 부스가 나타나면서 벌어지는 내용의 타임슬립 로맨틱 코미디 영화,https://images.justwatch.com/poster/45132352/s592/uri-ceoeum-mannasseul-ddae,https://www.justwatch.com/images/backdrop/43950290/s1440/uri-ceoeum-mannasseul-ddae,['http://www.netflix.com/title/80117531'],['Netflix']
9,"Rodrigo Sant'anna: I'm Here, I'm Queer!",,2022,43,3.7,0,['코미디'],63,,,"Whether he's making a grand entrance, sharing personal stories or bringing a host of quirky characters to life, Rodrigo Sant'Anna lights up the stage.",https://images.justwatch.com/poster/273737465/s592/rodrigo-santanna-cheguei,https://www.justwatch.com/images/backdrop/273737466/s1440/rodrigo-santanna-cheguei,['http://www.netflix.com/title/81471753'],['Netflix']
