,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,"부인은, 취급주의",1.0,2017,79,5.8,0,"['드라마', '코미디']",57,,10.0,,https://images.justwatch.com/poster/272650435/s592/시즌-1,https://www.justwatch.com/images/backdrop/24780386/s1440/시즌-1,"['https://www.wavve.com/player/vod?contentid=C3901_C39000000061_01_0001.1', 'https://watcha.com/contents/tPJjyoP', 'http://www.netflix.com/title/81488090']","['Netflix', 'wavve', 'Watcha']"
1,디스커넥트: 더 웨딩 플래너,,2023,62,4.1,0,"['코미디', '로맨스']",107,,,"사기를 당한 후 절박함에 발을 동동 구르는 남자. 중요한 투자자를 위해 호화로운 결혼식을 준비해야 하는데, 시간이 없다!",https://images.justwatch.com/poster/302560923/s592/disconnect-the-wedding-planner,https://www.justwatch.com/images/backdrop/302320547/s1440/disconnect-the-wedding-planner,['http://www.netflix.com/title/81598307'],['Netflix']
2,인 굿 핸즈,,2022,68,5.7,3000,"['드라마', '코미디', '로맨스', '가족']",104,15.0,,"불치병을 앓는 싱글맘, 멜리사. 고집불통인 여섯 살 아들의 미래 때문에 고민하던 그녀 앞에 수려한 외모의 한 남자가 나타난다.",https://images.justwatch.com/poster/267979348/s592/in-gus-haenjeu,https://www.justwatch.com/images/backdrop/267979349/s1440/in-gus-haenjeu,['http://www.netflix.com/title/81350683'],['Netflix']
3,안소니 제셀닉 - 생각과 기도,,2015,81,7.7,5000,['코미디'],59,,,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.,https://images.justwatch.com/poster/11650873/s592/anthony-jeselnik-thoughts-and-prayers,https://www.justwatch.com/images/backdrop/754229/s1440/anthony-jeselnik-thoughts-and-prayers,['http://www.netflix.com/title/80043049'],['Netflix']
4,에이제이 & 퀸,1.0,2020,82,7.5,8000,"['코미디', '드라마']",52,15.0,10.0,,https://images.justwatch.com/poster/163222356/s592/시즌-1,https://www.justwatch.com/images/backdrop/190877004/s1440/시즌-1,['http://www.netflix.com/title/80237329'],['Netflix']
5,킬 유어 프렌즈,,2015,67,6.1,9000,"['스릴러', '코미디', '음악', '범죄']",100,,,1990년대 영국의 브릿팝 전성기에 A&R (아티스트 앤 레퍼토리)들은 서로 경쟁하며 실력 있는 뮤지션을 영입하여 히트 앨범을 먼저 만들어 남보다 높은 자리에 오르려고 한다.  유명 음반 회사에서 A&R로 일하는 스티븐 스텔폭스(니콜라스 홀트) 역시 헤드 A&R이 되기 위해 수단과 방법을 가리지 않는다. 그런데 자신보다 못한 스티븐의 친구 로저(제임스 코든)가 헤드 A&R이 되자 울분을 참지 못한 스티븐은 로저를 살해하고 만다. 아무렇지 않게 회사에서 일을 하던 스티븐에게 어느 날 우드 햄이라는 형사가 찾아오고 비서 레베카까지 점점 스티븐의 목을 조여오는데....,https://images.justwatch.com/poster/50752717/s592/kill-your-friends,https://www.justwatch.com/images/backdrop/240667631/s1440/kill-your-friends,"['http://www.netflix.com/title/80057441', 'https://www.wavve.com/player/movie?movieid=MV_CU01_DL0000013183']","['Netflix', 'wavve']"
6,티퍼니 해디시: 빈민가에서 할리우드로,,2017,73,6.6,0,"['코미디', '다큐멘터리']",65,,,산전수전 다 겪고 코미디계 유망주로 떠오른 티퍼니 해디시. 찰진 입담을 과시하며 이런저런 얘기를 좔좔 쏟아낸다. 인생의 쓴맛은 이미 어렸을 때 맛봤다는 그녀가 재미와 감동으로 버무린 험한(?) 일화. 지금 들어보자.,https://images.justwatch.com/poster/10385472/s592/tiffany-haddish-she-ready-from-the-hood-to-hollywood,https://www.justwatch.com/images/backdrop/10385473/s1440/tiffany-haddish-she-ready-from-the-hood-to-hollywood,['http://www.netflix.com/title/80994180'],['Netflix']
7,고령화 가족,,2013,71,6.5,0,"['드라마', '코미디']",112,15.0,,"평화롭던 엄마 집에 나이 값 못하는 가족이 다시 모여들기 시작한다. 엄마 집에 빈대 붙어 사는 철없는 백수 첫째 한모, 흥행참패 영화감독 둘째 인모, 결혼만 세 번째인 뻔뻔한 로맨티스트 셋째 미연. 서로가 껄끄럽기만 한 삼 남매와 미연을 쏙 빼 닮아 되바라진 성격의 개념상실 여중생 민경까지, 모이기만 하면 사건 사고가 끊이지 않는 이들의 속사정이 공개된다.",https://images.justwatch.com/poster/174572758/s592/boomerang-family,https://www.justwatch.com/images/backdrop/281941959/s1440/boomerang-family,"['https://watcha.com/contents/mObe81W', 'http://www.netflix.com/title/80195819']","['Netflix', 'Watcha']"
8,이웃을 어떻게 사랑해?,,2022,59,4.4,0,"['코미디', '가족', '판타지']",110,15.0,,소음 스트레스로 신경 쇠약에 걸린 남자가 도시를 떠나 조용한 시골 마을로 간다. 하지만 시끄러운 이웃을 만나면서 평온한 삶에 대한 희망도 곧 산산조각이 나는데.,https://images.justwatch.com/poster/293608454/s592/fenced-in,https://www.justwatch.com/images/backdrop/300550724/s1440/fenced-in,['http://www.netflix.com/title/81278397'],['Netflix']
9,불안한 사람들,1.0,2021,70,6.8,4000,"['범죄', '드라마', '코미디']",29,15.0,6.0,,https://images.justwatch.com/poster/258933155/s592/시즌-1,https://www.justwatch.com/images/backdrop/258933156/s1440/시즌-1,['http://www.netflix.com/title/81214609'],['Netflix']
10,달링스,,2022,74,6.5,19000,"['드라마', '스릴러', '코미디']",133,15.0,,"폭력적인 남편과 함께 살지만 술만 끊으면 새사람이 될 거라고 믿어보는 아내. 그러나 도를 넘은 남편의 행각에, 그녀는 엄마와 함께 어설프지만 대담한 복수를 계획한다.",https://images.justwatch.com/poster/242885843/s592/darlings,https://www.justwatch.com/images/backdrop/296993176/s1440/darlings,['http://www.netflix.com/title/81537953'],['Netflix']
11,탈룰라,,2016,73,6.7,20000,"['드라마', '코미디', '로맨스']",111,,,전 남자친구를 찾아다니며 떠돌이 생활을 하는 주인공은 제대로 보살핌을 받지 못하고 있는 아기를 납치한 후 자신의 아기인 양 돌본다.,https://images.justwatch.com/poster/10706116/s592/tallulah,https://www.justwatch.com/images/backdrop/157821419/s1440/tallulah,['http://www.netflix.com/title/80093198'],['Netflix']
12,리틀 맨,,2006,60,4.5,56000,"['코미디', '범죄', 'Made in Europe']",98,,,"성인이면서도 아기 같은 몸과 얼굴을 가진 캘빈 심즈. 그러나 그런 순진하고 귀여운 외모와는 달리 그는 얼마전에 출소한 전과자 출신이다. 출소하자마자 그의 파트너 퍼시와 함께 이번에는 갱단 두목으로부터 의뢰를 받아 다이아몬드를 훔쳐 달아나던 도중, 다급한 나머지 지나가던 여자의 핸드백 속에 다이아몬드를 숨긴다. 그녀는 막 부사장으로 승진한 능력있는 여성으로 그녀의 남편 대릴은 아기를 갖고 싶어하지만 그녀는 일 때문에 선뜻 임신을 결심하지 못하고 있는 상태였다. 캘빈과 퍼시는 이 사실을 이용해 자신이 아기로 위장해 그들 부부에게 입양되어 다이아몬드를 되찾을 계획을 세운다.",https://images.justwatch.com/poster/218125465/s592/littleman,https://www.justwatch.com/images/backdrop/231071741/s1440/littleman,['http://www.netflix.com/title/70044593'],['Netflix']
13,데이비드 스페이드: 개인적인 감정은 없어,,2022,60,5.8,0,"['코미디', '다큐멘터리']",66,,,"데이비드 스페이드가 의사를 보러 갔다가 맛본 굴욕, 낙원에서 만난 여우원숭이, 낚시성 제목에 걸려든 일화, 그리고 제대로 찍기가 거의 불가능한 어떤 셀카 사진에 대해 이야기한다.",https://images.justwatch.com/poster/272526882/s592/david-spade-nothing-personal,https://www.justwatch.com/images/backdrop/272665767/s1440/david-spade-nothing-personal,['http://www.netflix.com/title/81464179'],['Netflix']
14,나이자 크리스마스,,2021,65,4.9,0,"['드라마', '로맨스', '코미디']",121,,,엄마의 크리스마스 소원은 단 하나. 그 소원을 이뤄 드리면 어마어마한 상을 받을 수 있다! 엄마의 소원 성취 대작전. 아들들의 치열한 대결이 펼쳐진다.,https://images.justwatch.com/poster/257771136/s592/a-naija-christmas,https://www.justwatch.com/images/backdrop/256539757/s1440/a-naija-christmas,['http://www.netflix.com/title/81434660'],['Netflix']
15,Romesh Ranganathan The Cynic,1.0,2022,34,0.0,0,['코미디'],47,,2.0,"Returning to his hometown of Crawley, England, Romesh Ranganathan riffs on veganism, his kids — and offers a peek into the making of his comedy special.",https://images.justwatch.com/poster/301979763/s592/시즌-1,https://www.justwatch.com/images/backdrop/301979764/s1440/시즌-1,['http://www.netflix.com/title/81472368'],['Netflix']
