,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,말리부 주니어 구조대,,2019,63,5.0,1000,"['코미디', '가족', '액션']",69,,,"인생의 최대 관심사가 장난인 십 대 소년. 사고는 이제 그만, 넘치는 에너지를 주니어 해상 구조대에 쏟아라. 부모님 말씀대로 하고 싶지만, 몸이 근질거려 미치겠는걸?",https://images.justwatch.com/poster/128600409/s592/malibu-rescue,https://www.justwatch.com/images/backdrop/128600411/s1440/malibu-rescue,['http://www.netflix.com/title/80223928'],['Netflix']
1,하이앤로우 더 레드 레인,,2016,76,6.1,0,"['액션', '드라마']",110,,,"어느 날 돌연 행방을 감춘 형을 찾기 위해 아마미야 형제는 스워드 지구를 비롯한 모든 곳을 찾아 헤맨다. 그러나 형의 행방은 어디에서도 찾을 수 없고, 아마미야 형제는 부모님의 기일에 형이 돌아올 것을 기대하며 부모님의 묘지를 찾는다. 그러나 그곳에 나타난 것은 형의 행방을 알고 있는 소녀. 형의 뒤를 쫓을수록 부모님의 죽음과 관련된 거대한 조직의 실체가 드러나고, 아마미야 형제는 이 조직과 피할 수 없는 싸움에 휘말리게 되는데...",https://images.justwatch.com/poster/8803306/s592/haiaenrou-deo-redeu-rein,https://www.justwatch.com/images/backdrop/8803309/s1440/haiaenrou-deo-redeu-rein,"['http://www.netflix.com/title/81304895', 'https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011229']","['Netflix', 'wavve']"
2,아치볼드의 대모험,1.0,2019,76,7.7,0,"['판타지', 'SF', '애니메이션', '코미디', '가족', '액션']",23,,13.0,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",https://images.justwatch.com/poster/149349667/s592/시즌-1,https://www.justwatch.com/images/backdrop/148664731/s1440/시즌-1,['http://www.netflix.com/title/80221550'],['Netflix']
3,아치볼드의 대모험,2.0,2020,76,7.7,0,"['판타지', 'SF', '애니메이션', '코미디', '가족', '액션']",24,,13.0,"Whether he's trapped in a mall, rescuing a rocking chair or planning a honeymoon, Archibald is always all-in — and never, ever bored.",https://images.justwatch.com/poster/189776818/s592/시즌-2,https://www.justwatch.com/images/backdrop/148664731/s1440/시즌-2,['http://www.netflix.com/title/80221550'],['Netflix']
4,회색 게임: 원 투 자가,,2018,63,6.5,0,"['드라마', '액션', '범죄']",80,15.0,,학대에 시달린 불법 이민자. 비리를 목격한 신입 경찰. 누가 이들의 간절한 꿈을 뺏으려 하는가. 여기는 말레이시아 쿠알라룸푸르. 폭력과 부패가 판치는 생지옥이다.,https://images.justwatch.com/poster/164541133/s592/crossroads-one-two-jaga,https://www.justwatch.com/images/backdrop/96854741/s1440/crossroads-one-two-jaga,['http://www.netflix.com/title/81015153'],['Netflix']
5,리벤져,,2018,62,5.7,4000,"['액션', '범죄', '스릴러']",102,15.0,,"극악무도한 사형수들을 격리시켜 놓은, 어떠한 법도 상식도 통하지 않는 죽음의 섬 수라도. 이곳을 지배하는 절대악 쿤을 잡기 위해 스스로 악마가 되는 길을 택해 사형수가 되어 수라도에 들어온 전직 특수경찰 율. 율은 쿤의 아지트를 찾던 중 우연히 마주친 말리와 바우로 인해 과거의 신분이 들통나게 되고 모두가 죽이고 싶어하는 살해 대상으로 지목된다. 더 이상 물러날 곳이 없는 율은 복수를 위해 목숨을 건 반격을 시작하는데...",https://images.justwatch.com/poster/138827224/s592/ribenjyeo,https://www.justwatch.com/images/backdrop/104717702/s1440/ribenjyeo,"['http://www.netflix.com/title/81000511', 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000114973']","['Netflix', 'wavve']"
6,심사관,,1992,73,6.8,2000,"['코미디', '액션', '범죄', '드라마']",102,,,"송세걸은 주변 5백리 안에서는 당할자가 없다는 평이 나있는 명 변호사였다. 그러나 그의 아내 이씨는 몇 명이나 아이를 낳기만하면 잇달아 죽는것이 남편의 변론으로 패소한 사람들의 원한의 결과라고 생각해서, 한창 명성을 날리는 변호업을 중단할 것을 애걸해서 마침내 남편을 은퇴시킨다.  변호사업을 그만두고 여관을 차린 송세걸이 무료한 나날을 보내던 중, 그의 아내는 우연한 기회에 양수진이라는 여자가, 남편을 죽였다는 누명을 쓰고, 만삭의 몸으로 시달리고 있는것을 보고, 남편의 반대에도 불구하고 집안으로 거둬들여, 원님에게 그녀의 무고함을 호소한다. 신임현감은 송세걸의 명성을 익히 들어왔고, 은연중에 시기하던 현감은, 송세걸이 은퇴해서 대결할 기회를 놓친게 안타깝던 차에 이씨가 건방지게 관가의 송사에 관여하는 것을 괘씸히 여겨 이씨에게 형을 선고한다. 아내가 형을 받고 돌아온것을 본 송세걸은 은퇴선언을 번복하고 다시 율사가 되어, 양수진의 사건을 맡아 관가에 항소를 한다.  한편, 양수진의 남편을 죽이고 재산을 가로챈 범인은 송세걸이 사건을 맡았다는 소식에 당황해서 금 5천냥을 현감에게 뇌물로 주고 범행을 목격한 양수진의 몸종을 수회해서 반대증언을 하게 한다.  재판결과, 몸종의 증언이 결정적인 영향을 미쳐, 송세걸은 생전 처음 패소한다. 타락한 관리들의 작태에 울분을 터뜨린 송세걸은 마침 출두한 암행어사에게 항소해서 탐관오리들의 비리와 잘못된 재판의 번복을 요구하는데...",https://images.justwatch.com/poster/20400123/s592/simsagwan,https://www.justwatch.com/images/backdrop/169130282/s1440/simsagwan,['http://www.netflix.com/title/70033611'],['Netflix']
7,버디 썬더스트럭,1.0,2017,85,7.8,0,"['애니메이션', '액션', '코미디', '가족', '스포츠']",23,,20.0,,https://images.justwatch.com/poster/12018866/s592/시즌-1,https://www.justwatch.com/images/backdrop/11792093/s1440/시즌-1,['http://www.netflix.com/title/80081170'],['Netflix']
8,버디 썬더스트럭,2.0,2017,85,7.8,0,"['애니메이션', '스포츠', '액션', '코미디', '가족']",0,,,,https://images.justwatch.com/poster/5862773/s592/시즌-2,https://www.justwatch.com/images/backdrop/11792093/s1440/시즌-2,[],[]
9,성범죄 수사대,,2013,64,5.9,0,"['코미디', '액션']",94,,,성범죄수사대(SDU)는 홍콩 결찰의 엘리트만 모인 특수부대이다. 하지만 최고가 되기 위해서는 항상 난관이 존재한다! 이들 또한 미인에 열광하고 사랑을 갈구하는 색기충만 늑대남이라는 것!  미녀들과 함께하는 화끈한 주말을 꿈꾸며 밀수선을 타고 마카오로 떠난 성범죄수사대 B팀. 유혹으로 가득한 마카오에서 과연 그들은 사건을 해결할 수 있을 것인가?,https://images.justwatch.com/poster/91467621/s592/sdu-sex-duties-unit,https://www.justwatch.com/images/backdrop/196895360/s1440/sdu-sex-duties-unit,"['http://www.netflix.com/title/81030200', 'https://www.wavve.com/player/movie?movieid=MV_CL01_JY0000011411']","['Netflix', 'wavve']"
