,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,프리티 원,,2014,69,6.3,9000,"['코미디', '드라마']",90,,,"언니의 집, 언니의 직장, 언니의 친구  하지만 사랑만큼은 내 것을 찾고 싶었다!  촌스럽고 수줍음 많은 로렐(조 카잔)은 쌍둥이 언니 오드리(조 카잔)와는 정 반대이다. 자신만만하고 화려한 스타일로 늘 사람들의 관심을 받던 오드리는 도시에 나가 부동산 중개사로 인정받으며 살고 있다. 반면 로렐은 시골집에 처박혀 아버지의 뒤치다꺼리로 하루를 보내고, 외로움에 지쳐 이웃집 소년에게나 집착하는 우울한 청춘이다.  그러나 로렐과 오드리의 갑작스러운 교통사고 이후 모든 것이 뒤바뀐다. 병원에서 눈을 뜬 로렐은 동승한 오드리가 죽었으며 모든 사람들이 자신을 오드리로 착각하고 있다는 것을 알게 된다. 진실을 밝힐 타이밍을 놓쳐버리고, 얼떨결에 오드리로 세상을 살아가게 된 로렐. 낯선 직장과 친구, 유부남 연인까지 복잡한 언니의 삶 속으로 들어가 혼란스러운 그녀 앞에 옆집에 사는 괴짜 청년 바젤(제이크 존슨)이 다가온다. 바젤을 사랑하게 될수록 자신의 정체성을 고민하는 로렐. 이제 오드리로 계속 살아가거나, 진짜 자신을 밝히거나 둘 중 하나를 선택해야만 하는데…",https://images.justwatch.com/poster/204252530/s592/the-pretty-one,https://www.justwatch.com/images/backdrop/305177830/s1440/the-pretty-one,['http://www.netflix.com/title/70274604'],['Netflix']
1,섹스튜플리츠,,2019,61,4.5,9000,['코미디'],97,15.0,,출산을 앞둔 예비 아빠 앨런이 우연히 자신이 여섯 쌍둥이였다는 놀라운 사실을 알게 되고 형제들을 찾아 나선다는 이야기의 코미디 영화,https://images.justwatch.com/poster/141562065/s592/segseutyupeulriceu,https://www.justwatch.com/images/backdrop/152667028/s1440/segseutyupeulriceu,['http://www.netflix.com/title/80231419'],['Netflix']
2,아빠 때문에 못 살겠다!,1.0,2021,63,4.2,2000,"['코미디', '가족']",25,15.0,8.0,,https://images.justwatch.com/poster/244179012/s592/시즌-1,https://www.justwatch.com/images/backdrop/243984572/s1440/시즌-1,['http://www.netflix.com/title/81026218'],['Netflix']
3,언더테이커의 저주받은 저택,,2021,53,4.2,1000,"['스릴러', '공포', '코미디']",31,,,함정으로 가득한 레슬러 언더테이커의 저택. 무시무시한 이곳에 레슬링팀 뉴데이가 갇혀 버렸다. 이제 세 레슬러의 운명이 당신의 선택에 달렸다! WWE 테마로 꾸민 인터랙티브 스페셜.,https://images.justwatch.com/poster/254162400/s592/escape-the-undertaker,https://www.justwatch.com/images/backdrop/251794092/s1440/escape-the-undertaker,['http://www.netflix.com/title/81251335'],['Netflix']
4,해브 어 굿 트립: 기묘한 모험,,2020,74,6.8,8000,"['다큐멘터리', '코미디']",85,,,환각제는 나쁜 여행의 안내자일 수 있다. 하지만 포복절도할 경험을 선사해 줄 수도 있다. 애니메이션과 재연을 통해 보는 유명 인사들의 모험. 기묘한 이야기가 시작된다.,https://images.justwatch.com/poster/180613944/s592/haebeu-eo-gus-teurib-gimyohan-moheom,https://www.justwatch.com/images/backdrop/178840103/s1440/haebeu-eo-gus-teurib-gimyohan-moheom,['http://www.netflix.com/title/80231917'],['Netflix']
5,W. 카마우 벨: 프라이빗 스쿨 니그로,,2018,67,6.5,0,['코미디'],65,15.0,,세상살이에 관심 많은 흑인 코미디언 W. 카마우 벨. 백인 아내와 두 딸을 둔 그가 트럼프 시대를 사는 방법은? 가려운 곳을 시원하게 긁어주는 그의 무대에서 확인해 보자!,https://images.justwatch.com/poster/69629567/s592/w-kamau-bell-private-school-negro,https://www.justwatch.com/images/backdrop/68995385/s1440/w-kamau-bell-private-school-negro,['http://www.netflix.com/title/80200015'],['Netflix']
6,워 머신,,2017,64,6.0,48000,"['코미디', '드라마', '전쟁']",122,,,"귀청을 찢는 폭발음과 총성이 난무하는 전쟁터.  아비규환의 현장에서 미군에게 승전보를 안겨줄 단 한 사람,  절대적인 명성의 맥 크리스탈 4성 장군이 아프가니스탄으로 파견된다.  그의 임무는 이 잔혹한 전쟁을 승리로 이끄는 것. 하지만 신경 써야 할 것은 그뿐만이 아닌 것 같다.  연합 부대에서 끊임없이 이어지는 까다로운 요구, 격렬한 정치 전쟁으로 바람 잘 날 없는 워싱턴,  호시탐탐 기삿거리를 노리는 하이에나 같은 언론들까지.  그를 둘러싼 외부 요인들은 아프가니스탄 전쟁 승리를 점점 불가능하게 만드는데…",https://images.justwatch.com/poster/9376444/s592/weo-meosin,https://www.justwatch.com/images/backdrop/8872971/s1440/weo-meosin,['http://www.netflix.com/title/80068327'],['Netflix']
7,서배스천 매니스캘코: 왜 그러는 걸까요?,,2016,80,7.4,1000,['코미디'],63,15.0,,"서배스천 매니스캘코가 돌아왔다! 일상 속 짜증나는 사람들에 대해 시원하게 불평하는 시간. 이웃부터 시작해 할머니, 할아버지, 심지어 어린 조카도 피할 순 없다. 아니, 여러분, 들어나 봅시다. 진짜 왜들 그러는데요?",https://images.justwatch.com/poster/144794193/s592/sebastian-maniscalco-why-would-you-do-that,https://www.justwatch.com/images/backdrop/12388456/s1440/sebastian-maniscalco-why-would-you-do-that,['http://www.netflix.com/title/81001278'],['Netflix']
8,돌리 파튼: 마음의 멜로디,1.0,2019,80,7.6,2000,"['드라마', '코미디', '음악']",65,15.0,8.0,,https://images.justwatch.com/poster/158543739/s592/시즌-1,https://www.justwatch.com/images/backdrop/156590817/s1440/시즌-1,['http://www.netflix.com/title/80244846'],['Netflix']
9,YG전자,1.0,2018,76,6.9,0,['코미디'],26,15.0,8.0,,https://images.justwatch.com/poster/88700720/s592/시즌-1,https://www.justwatch.com/images/backdrop/85714021/s1440/시즌-1,['http://www.netflix.com/title/80220650'],['Netflix']
