,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,A.N.T. 영재 클럽,1.0,2011,70,5.1,6000,"['코미디', '가족', '드라마']",24,,20.0,,https://images.justwatch.com/poster/195833101/s592/시즌-1,https://www.justwatch.com/images/backdrop/201262620/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fant-farm%2F6VhHIPXTucfT&subId3=justappsvod'],['Disney Plus']
1,A.N.T. 영재 클럽,2.0,2012,70,5.1,6000,"['코미디', '드라마', '가족']",25,,20.0,,https://images.justwatch.com/poster/197558895/s592/시즌-2,https://www.justwatch.com/images/backdrop/201262620/s1440/시즌-2,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fant-farm%2F6VhHIPXTucfT&subId3=justappsvod'],['Disney Plus']
2,A.N.T. 영재 클럽,3.0,2013,70,5.1,6000,"['코미디', '드라마', '가족']",26,,18.0,,https://images.justwatch.com/poster/195833097/s592/시즌-3,https://www.justwatch.com/images/backdrop/201262620/s1440/시즌-3,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fant-farm%2F6VhHIPXTucfT&subId3=justappsvod'],['Disney Plus']
3,팀 토르,,2016,43,0.0,0,['코미디'],3,,,Discover what Thor was up to during the events of Captain America: Civil War.,https://images.justwatch.com/poster/260438973/s592/tim-toreu,https://www.justwatch.com/images/backdrop/260438974/s1440/tim-toreu,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fmarvel-one-shot-team-thor-part-1%2F1TzAxRHo4kjK&subId3=justappsvod'],['Disney Plus']
4,오리진스: 인류의 기원,1.0,2017,75,6.4,0,"['다큐멘터리', '스릴러', '드라마', '액션', '역사', '코미디', 'SF', '로맨스', '공포']",30,,20.0,,https://images.justwatch.com/poster/200298657/s592/시즌-1,https://www.justwatch.com/images/backdrop/200298658/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Forigins-the-journey-of-humankind%2F4tGBS4pdG6tD&subId3=justappsvod'],['Disney Plus']
5,오리진스: 인류의 기원,2.0,2019,75,6.4,0,"['다큐멘터리', '스릴러', '드라마', '액션', '역사', '코미디', 'SF', '공포', '로맨스']",0,,20.0,,https://images.justwatch.com/poster/252347532/s592/시즌-2,https://www.justwatch.com/images/backdrop/200298658/s1440/시즌-2,[],[]
6,세션: 이 남자가 사랑하는 법,,2012,77,7.2,43000,"['코미디', '드라마', '로맨스']",95,,,"행동 범위 90도 오로지 얼굴 근육만 자유로운 저널리스트이자 시인인 38살 싱글남 마크 오브라이언. 온 종일 시간을 보내는 침대 위에서 그가 해 보지 못한 단 한가지가 있었으니, 바로 총각딱지를 떼는 것! 급기야 신부를 찾아가 “섹스를 하고 싶다”는 고백을 하게 되고 그 바램은 섹스 테라피스트 칠리 코헨 그린과의 만남으로 이어지게 되는데…",https://images.justwatch.com/poster/58400974/s592/the-sessions,https://www.justwatch.com/images/backdrop/10653420/s1440/the-sessions,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fthe-sessions%2F7O0SzL2mLO4c&subId3=justappsvod'],['Disney Plus']
7,머펫 무비,,1979,80,7.6,37000,"['액션', '음악', '가족', '코미디']",97,,,개구리 머펫이 헐리우드에 오디션을 보러 떠나며 여정에서 친구들을 만나고 악당들에게 쫓기는 과정을 그린 영화,https://images.justwatch.com/poster/199032016/s592/meopes-mubi,https://www.justwatch.com/images/backdrop/304365036/s1440/meopes-mubi,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fthe-muppet-movie%2F2rJuGncIuWy1&subId3=justappsvod'],['Disney Plus']
8,초능력 다람쥐 율리시스,,2021,71,6.2,6000,"['코미디', '가족']",95,,,"슈퍼 히어로 만화의 광팬이자, 부모의 별거로 인해 스스로를 천성이 냉소적이라고 자처하는, 열 살 소녀 플로라의 이야기를 그리고 있다. 우연히 구출해낸 다람쥐를 율리시스라고 이름 지은 플로라는 그 다람쥐가 특별한 초능력을 가졌다는 사실을 깨닫고 놀라게 된다. 초능력 다람쥐로 인해 시시때때로 웃음을 자아내는 좌충우돌 모험에 휘말리게 되면서, 급기야는 플로라의 삶과, 삶을 바라보는 시선까지도 영원히 변하게 된다.",https://images.justwatch.com/poster/247971813/s592/coneungryeog-daramjwi-yulrisi,https://www.justwatch.com/images/backdrop/242166005/s1440/coneungryeog-daramjwi-yulrisi,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fflora-ulysses%2FS5BecuSTRmOu&subId3=justappsvod'],['Disney Plus']
9,Agileul Butaghae! Tocheu,1.0,2019,70,6.8,0,"['코미디', '가족', '음악', '애니메이션']",21,,20.0,"The adventures of Pip, a penguin, and Freddy, a flamingo, who are the only non-stork delivery birds in-training at Tiny Ones Transport Service (T.O.T.S.)",https://images.justwatch.com/poster/185723602/s592/시즌-1,https://www.justwatch.com/images/backdrop/253629490/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Ftots%2F1l7c02GktrN7&subId3=justappsvod'],['Disney Plus']
