,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,Sharks of the Bermuda Triangle,,2020,71,5.6,0,['다큐멘터리'],43,,,Marine biologist Dr. Austin Gallagher searches for the holy grail of shark research -- the secret breeding grounds of tiger sharks.,https://images.justwatch.com/poster/267533256/s592/sharks-of-the-bermuda-triangle,https://www.justwatch.com/images/backdrop/243840986/s1440/sharks-of-the-bermuda-triangle,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fsharks-of-the-bermuda-triangle%2F5LtW7YwOC0fQ&subId3=justappsvod'],['Disney Plus']
1,지하세계의 신비,1.0,2020,4,0.0,0,['다큐멘터리'],44,,2.0,,https://images.justwatch.com/poster/253792715/s592/시즌-1,https://www.justwatch.com/images/backdrop/243940466/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fmysteries-of-the-underworld%2F3H3ZkwxaYfla&subId3=justappsvod'],['Disney Plus']
2,지하세계의 신비,2.0,2018,4,0.0,0,['다큐멘터리'],0,,1.0,,https://images.justwatch.com/poster/253792715/s592/시즌-2,https://www.justwatch.com/images/backdrop/243940466/s1440/시즌-2,[],[]
3,The Little Prince(ss),,2021,43,0.0,0,['드라마'],19,,,"When Gabriel, a 7-year-old Chinese kid who loves ballet, becomes friends with Rob, another Chinese kid from school, Rob’s dad gets suspicious about Gabriel's feminine behavior and decides to intervene.",https://images.justwatch.com/poster/245384052/s592/the-little-prince-ss,https://www.justwatch.com/images/backdrop/245384054/s1440/the-little-prince-ss,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fthe-little-prince-ss%2F5VzplR5pwKaP&subId3=justappsvod'],['Disney Plus']
4,에드나 이모,,2018,42,0.0,0,['코미디'],5,,,유명한 패셔니스타 에드나 모드가 잭잭이라는 능력을 사용하는 아이를 돌보는 내용의 애니메이션,https://images.justwatch.com/poster/238879931/s592/edeuna-imo,https://www.justwatch.com/images/backdrop/207745367/s1440/edeuna-imo,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fauntie-edna%2F5GuxpoZePAD5&subId3=justappsvod'],['Disney Plus']
5,화성 탐사 로봇 생존기,,2016,83,7.4,0,['다큐멘터리'],88,,,"우주 시대의 가장 위대한 이야기인 화성 탐사선 스피릿과 오퍼튜니티의 역사적 모험을 다룬 작품. 기껏 두어 달 정도 활동할 것으로 예상됐지만 이 탐사선들은 수년간 활동하며 화구벽을 오르고 모래 폭풍, 혹한의 밤, 고장난 바퀴를 견뎌냈다. 이 용감한 탐험가들은 NASA의 화성 탐사 프로그램에 다시 활기를 불어넣었고 화성 개척의 문을 열었다.",https://images.justwatch.com/poster/207029160/s592/expedition-mars,https://www.justwatch.com/images/backdrop/207029165/s1440/expedition-mars,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fexpedition-mars-spirit-opportunity%2F1QCo8zoX1mM7&subId3=justappsvod'],['Disney Plus']
6,재미있는 디즈니 공작교실,1.0,2019,31,0.0,0,['Reality TV'],7,,20.0,,https://images.justwatch.com/poster/203666784/s592/시즌-1,https://www.justwatch.com/images/backdrop/203666707/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fdisney-family-sundays%2F6HVS4tSPuyWI&subId3=justappsvod'],['Disney Plus']
7,Buried Truth of the Maya,,2020,61,5.5,0,"['스릴러', '다큐멘터리']",47,,,"Maya legend tells us that there is a hidden underground cave below Chichen Itza, now high tech archaeologists are here to find the buried truth.",https://images.justwatch.com/poster/259940882/s592/buried-truth-of-the-maya,https://www.justwatch.com/images/backdrop/239896579/s1440/buried-truth-of-the-maya,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fburied-truth-of-the-maya%2F62q29QZC53vW&subId3=justappsvod'],['Disney Plus']
8,Secrets of the Space Shuttle,1.0,2018,4,0.0,0,['다큐멘터리'],43,,2.0,,https://images.justwatch.com/poster/179497950/s592/시즌-1,https://www.justwatch.com/images/backdrop/213794666/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsecrets-of-the-space-shuttle%2F5yzCQIVcXxXL&subId3=justappsvod'],['Disney Plus']
9,Live Free or Die,1.0,2014,77,7.6,0,['Reality TV'],43,,10.0,,https://images.justwatch.com/poster/254048350/s592/시즌-1,https://www.justwatch.com/images/backdrop/254021696/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Flive-free-or-die%2F4nnesmEVmv1J&subId3=justappsvod'],['Disney Plus']
