,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,특종: 량첸살인기,,2015,68,6.4,0,"['스릴러', '코미디', '범죄', '드라마']",125,15.0,,"이혼, 해고의 위기에 몰린 열혈 기자 ‘허무혁’. 우연한 제보로 연쇄살인사건과 관련한 일생일대의 특종을 터트린다. 하지만 단독 입수한 연쇄살인범의 친필 메모가 소설 ‘량첸살인기’의 한 구절임을 알게 된 무혁은 세상을 떠들썩하게 만든 특종이 사상초유의 실수임을 깨닫게 된다.  내가 보도하는 대로 사건이 벌어진다. 이를 알리 없는 보도국은 후속 보도를 기다리고 경찰은 사건의 취재 과정을 밝히라며 무혁을 압박해온다. 심지어 특종의 진실을 알고 있다는 목격자까지 나타나는 걷잡을 수 없는 상황 속, 무혁이 보도한 오보 그대로 실제 살인사건이 벌어지기 시작하는데…",https://images.justwatch.com/poster/242866336/s592/the-exclusive-beat-the-devils-tattoo,https://www.justwatch.com/images/backdrop/10394828/s1440/the-exclusive-beat-the-devils-tattoo,"['https://www.wavve.com/player/movie?movieid=MV_CI01_LE0000011171', 'https://watcha.com/contents/mdRLw3r', 'http://www.netflix.com/title/80116913']","['Netflix', 'wavve', 'Watcha']"
1,신석기 블루스,,2004,70,6.2,0,"['드라마', '코미디']",108,,,"절세추남 신석기의 유쾌한 인생별곡  절대만족 인생을 발칵 뒤집은 대형사고  목숨 하나 달랑 건지고 인생이 다 뭉개졌다!  엘리베이터 추락사고로 이름은 같은데 외모가 천양지차인 두 남자가 병원에 실려온다. 자고로 미인은 박명이라 했던가. 잘생긴 신석기(이종혁)는 그만 식물인간이 되고, 못생긴 신석기(이성재)만 의식을 회복한다. 그런데 이 남자, 얼굴이 뭉개졌다며 난리가 났다. 의사들은 어이가 없다. “가벼운 찰과상이거든요?” 사연인즉, 두 사람의 몸이 뒤바뀐 것.  생긴 것보다 사는 게 더 너무하다.  적응불가 수습불가 기막힌 대리인생.  절세추남에 천하약골인 몸주인은 먹고 살기도 빠듯한 가난뱅이 국선변호사. 아주 가지가지하는 못난이다. 콧구멍만한 사무실엔 돈 안 되는 의뢰뿐이고, 주제넘은 비서(신이)는 마누라 행세에, 시끄러운 시장 상인들은 성가시게 친한 척이다. 대기업 법무팀장으로 폼나게만 살아온 신석기는 자살을 기도하지만, 이놈의 몸뚱이는 죽는 것도 시원찮다.  대략난감 의뢰인, 병주고 약주기지만 이 마당에 뭘 가려?  ‘신뢰할 수 없는 외모’ 때문에 소송의뢰가 없어 춥고 배고프던 어느날, 그에게도 마침내 돈 되는 의뢰인이 나타난다. 그런데 하필 본래몸 시절 자신이 낸 인원감축안에 걸려 부당해고 당한 안내데스크 직원 서진영(김현주). 하지만 못난이로 환골탈태한 그를 알아볼 리 없을 터. 신석기는 진영의 합의금을 노리고, 취향에도 없는 인권변호사 노릇을 시작하는데…",https://images.justwatch.com/poster/242914708/s592/shin-suk-ki-blues,https://www.justwatch.com/images/backdrop/91895000/s1440/shin-suk-ki-blues,"['https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000038', 'http://www.netflix.com/title/81498458', 'https://watcha.com/contents/m5NVm25']","['Netflix', 'wavve', 'Watcha']"
2,스토리 오브 루크,,2013,76,7.2,3000,"['드라마', '로맨스', '코미디']",95,,,함께 살던 조부모와 헤어져 진정한 어른이 되기 위해 사람들과 함께 살아가는 방법을 배우는 자폐아 루크가 홀로서는 과정을 그린 내용,https://images.justwatch.com/poster/267533308/s592/the-story-of-luke,https://www.justwatch.com/images/backdrop/215751560/s1440/the-story-of-luke,"['https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000090', 'https://watcha.com/contents/mOkRLwW', 'http://www.netflix.com/title/70272288']","['Netflix', 'wavve', 'Watcha']"
3,방콕 프렌즈,1.0,2019,70,7.1,0,"['드라마', '코미디']",40,,13.0,,https://images.justwatch.com/poster/173405121/s592/시즌-1,https://www.justwatch.com/images/backdrop/242975532/s1440/시즌-1,['http://www.netflix.com/title/81152643'],['Netflix']
4,존재감 없는 소녀의 고백,,2021,67,5.2,1000,"['드라마', '코미디']",91,,,"똑똑하지만 소심한 테테. 존재감 없던 지난날은 뒤로하고, 새로 전학 간 학교에서 적응하려 애쓴다. 하지만 그런 테테를 못마땅하게 여기는 여왕벌이 있었으니. 테테의 학교생활, 괜찮을까?",https://images.justwatch.com/poster/251769931/s592/jonjaegam-eobsneun-sonyeoyi-gobaeg,https://www.justwatch.com/images/backdrop/251769933/s1440/jonjaegam-eobsneun-sonyeoyi-gobaeg,['http://www.netflix.com/title/81209537'],['Netflix']
5,췌서 : 데릴사위,1.0,2021,44,0.0,0,"['코미디', 'SF', '드라마']",44,,20.0,"Heroine Ning Yi one's background is slightly cold, however from beginning to end positive enterprising, from compose poem, from business, to learn martial arts, Qi, from the initial ease to spend the tauntuse, gradually assume more responsibility, help Su Tan son to start a business together, the friends and relatives who help the side again realized respective ideal, aid people hardship, grant a person to fish. After the face of domestic affairs, Ning Yi and a group of people repeatedly in danger, but ultimately rely on courage and wisdom to protect the city of Lin An. Just as the saying goes, ""a small verbous husband is a big world"", Ning Yi has grown from a verbous husband who just wants to do things by himself to a person with a real mind for the world. The other characters also have their own growth, and finally contribute their own strength to the big situation.",https://images.justwatch.com/poster/241971555/s592/시즌-1,https://www.justwatch.com/images/backdrop/241971556/s1440/시즌-1,"['https://www.wavve.com/player/vod?contentid=C8401_C84000000077_01_0001.1', 'http://www.netflix.com/title/81642752', 'https://watcha.com/contents/tPy8nye']","['Netflix', 'wavve', 'Watcha']"
6,녀석들의 졸업백서,,2018,60,5.2,6000,"['코미디', '드라마']",97,,,"고등학교 졸업을 2주 앞둔 단짝들. 소중한 것들은 사라지고, 원치 않는 변화가 닥쳐온다. 그래도 우리, 괜찮겠지? 뿌연 대마초 연기를 타고 흐르는, 빛나던 날들의 이야기.",https://images.justwatch.com/poster/57294555/s592/dude,https://www.justwatch.com/images/backdrop/57294559/s1440/dude,['http://www.netflix.com/title/80192186'],['Netflix']
7,인투 더 윈드,,2022,59,5.3,1000,"['드라마', '로맨스', '코미디', '스포츠']",108,15.0,,"일렁이는 파도와 반짝이는 햇빛, 뜨거운 열정이 기다리는 해변 휴양지. 부유층 집안의 십 대 소녀가 자유분방한 카이트 서핑 강사를 만나 첫사랑에 빠진다.",https://images.justwatch.com/poster/261648326/s592/intu-deo-windeu,https://www.justwatch.com/images/backdrop/301015537/s1440/intu-deo-windeu,['http://www.netflix.com/title/81404946'],['Netflix']
8,카피캣 킬러,1.0,2023,85,7.0,1000,"['범죄', '드라마', '스릴러']",59,,10.0,,https://images.justwatch.com/poster/304902901/s592/시즌-1,https://www.justwatch.com/images/backdrop/304902865/s1440/시즌-1,['http://www.netflix.com/title/81461539'],['Netflix']
9,웨이코: 아메리칸 아포칼립스,1.0,2023,51,7.0,3000,"['범죄', '다큐멘터리']",47,,3.0,,https://images.justwatch.com/poster/304538432/s592/시즌-1,https://www.justwatch.com/images/backdrop/303003419/s1440/시즌-1,['http://www.netflix.com/title/81396979'],['Netflix']
