,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,Mank,,2020,74,6.8,78000,"['코미디', '드라마']",131,15.0,,할리우드는 진정 어떤 곳이었을까. 신랄한 사회 비평가이자 알코올에 중독된 시나리오 작가 허먼 J. 맹키위츠. 그는 오슨 웰스의 시민 케인 시나리오를 마치고자 모든 것을 쏟고 있다. 그런 그의 시선으로 1930년대 할리우드를 새롭게 조명한다.,https://images.justwatch.com/poster/226006552/s592/maengkeu,https://www.justwatch.com/images/backdrop/239196005/s1440/maengkeu,['http://www.netflix.com/title/81117189'],['Netflix']
1,웨딩 데이트,,2005,71,6.1,53000,"['코미디', '로맨스']",88,15.0,,"여동생의 결혼식에 참가하기 위해 부모님이 사는 런던의 집을 방문해야 하는 미혼의 캣 앨리스에게는 한 가지 고민이 있다. 그곳에 가면 2년전에 자기를 차버렸던 전 약혼자와 마주쳐야 하는 것. 어떻하면 당당한 모습을 보여줄 수 있을까를 고민하던 그녀는 급기야 아주 잘생긴 에스코트 전문가 닉 머서를 고용, 동반하여 자신의 새로운 남자친구라고 소개한다. 닉의 매력에 캣의 부모님은 물론, 반경 100킬로미터 내에 사는 모든 사람들이 흠뻑 빠지고, 그녀의 작전은 성공적으로 보인다. 그러던 중, 캣은 자신이 닉에게 느끼는 감정이 단순한 비즈니스 이상으로 발전하는 것을 깨닫게 되는데... (OCN)",https://images.justwatch.com/poster/178680871/s592/weding-deiteu,https://www.justwatch.com/images/backdrop/241948950/s1440/weding-deiteu,"['https://watcha.com/contents/mOAJyjd', 'https://www.wavve.com/player/movie?movieid=MV_CL01_JY0000012517', 'http://www.netflix.com/title/70019502']","['Netflix', 'wavve', 'Watcha']"
2,두 리벤지,,2022,71,6.3,43000,['코미디'],118,,,여기는 상류층 자제들이 모인 초호화 사립 고등학교. 최고의 인기녀 자리에서 한순간에 몰락한 여학생이 수수한 전학생과 비밀리에 손을 잡는다. 서로의 원수에게 복수하기 위해.,https://images.justwatch.com/poster/297225333/s592/du-ribenji,https://www.justwatch.com/images/backdrop/293576451/s1440/du-ribenji,['http://www.netflix.com/title/81127150'],['Netflix']
3,아티스트,,2011,83,7.9,238000,"['드라마', '코미디', 'Made in Europe', '로맨스', '스릴러']",100,,,"출연하는 영화마다 흥행을 이어가던 헐리우드 최고의 스타 조지(장 뒤자르댕). 가는 곳마다 구름 같은 팬들을 몰고 다녔던 조지(장 뒤자르댕이). 하지만 유성영화의 등장으로 무성영화 배우였던 그는 졸지에 설 자리를 잃게 된다. 한편 그를 흠모하는 여인은 신인 시절 조지의 작품에 단역으로 출연하며 운명적인 만남을 가졌던 여배우 페피(베레니스 베조). 달라진 환경에서 더이상 설 자리가 없어진 조지와 달리 매력적인 목소리를 가진 페피는 할리우드 최고의 스타가 되고, 나락에 떨어진 조지를 찾아 나선다.",https://images.justwatch.com/poster/49748177/s592/atiseuteu,https://www.justwatch.com/images/backdrop/175469120/s1440/atiseuteu,"['http://www.netflix.com/title/70189319', 'https://watcha.com/contents/mWzDwBd', 'https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011555']","['Netflix', 'wavve', 'Watcha']"
4,롤링 투 유,,2018,72,6.5,4000,"['코미디', '로맨스', 'Made in Europe']",107,,,"조셀린은 직업이면 직업, 돈이면 돈, 매력이면 매력, 모든 것이 완벽한 탓에 한 여자에게 정착하지 못하고 자유로운 삶을 살아가고 있다. 여자를 너무 좋아하는 그는 종종 다른사람 행세까지 해가며 데이트를 한다. 그런 그가 돌아가신 어머니의 집에 갔다가 잠시 앉은 휠체어로 인해 엄청난 오해를 받게 되는데! 그는 진짜 휠체어를 탄 플로렌스라는 여인을 만나게 되고 유쾌한 그녀에게 점점 끌리게 된다. 장난은 진심이 되어가고 그녀에게 진실을 고백해야 하는 조셀린. 그는 그녀에게 진실을 털어놓고 사랑을 찾을 수 있을까?",https://images.justwatch.com/poster/237998495/s592/rolring-tu-yu,https://www.justwatch.com/images/backdrop/65197833/s1440/rolring-tu-yu,"['https://watcha.com/contents/mO0moNV', 'http://www.netflix.com/title/81269623']","['Netflix', 'Watcha']"
5,멜로가 체질,1.0,2019,88,8.0,0,"['코미디', '드라마', '로맨스']",64,15.0,16.0,"‘서른 되면 어른 될 줄 알았어?!’

강제로 한집살이를 하게 된 서른 살 여자 친구들의 고민, 연애, 일상을 그린 이병헌 감독표 수다블록버스터.",https://images.justwatch.com/poster/168714777/s592/시즌-1,https://www.justwatch.com/images/backdrop/304799484/s1440/시즌-1,"['https://www.netflix.com/kr-en/title/81211284', 'http://www.netflix.com/title/81211284', 'https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fbe-melodramatic%2F6OOddruTdUNa&subId3=justappsvod']","['Netflix', 'Disney Plus']"
6,피치 퍼펙트 3,,2017,69,5.8,67000,"['코미디', '음악']",93,,,월드 챔피언쉽에서 우승한 뒤 각자 흩어져 직장생활을 하던 여성 아카펠라 그룹 벨라스 멤버들이 다시 모여 공연을 하게 되면서 벌어지는 이야기를 다룬 음악 영화.,https://images.justwatch.com/poster/36620971/s592/pici-peopegteu-3,https://www.justwatch.com/images/backdrop/45834322/s1440/pici-peopegteu-3,['http://www.netflix.com/title/80192837'],['Netflix']
7,크리스마스를 망치는 방법 - 시즌 1 결혼식,,2020,84,6.4,0,"['드라마', '코미디']",49,15.0,3.0,그녀만 나타나면 문제가 터진다. 집에서 환영받지 못하는 투미. 그래도 이번만큼은 실수하고 싶지 않았다. 크리스마스도 여동생의 결혼식도 망칠 생각은 없었단 말이다!,https://images.justwatch.com/poster/302129380/s592/시즌-1,https://www.justwatch.com/images/backdrop/239819734/s1440/시즌-1,['http://www.netflix.com/title/81294417'],['Netflix']
8,크리스마스를 망치는 방법 - 시즌 2 장례식,,2021,84,6.4,0,"['드라마', '코미디']",51,15.0,4.0,그녀가 가는 곳엔 늘 소동이 있다. 자유로운 영혼의 소유자 투미. 이번 크리스마스에도 고향에 돌아오긴 했는데. 제발 이번엔 아무 문제도 없이 지나가길!,https://images.justwatch.com/poster/302128840/s592/시즌-2,https://www.justwatch.com/images/backdrop/239819734/s1440/시즌-2,['http://www.netflix.com/title/81294417'],['Netflix']
9,크리스마스를 망치는 방법 - 시즌 3 베이비 샤워,,2020,84,6.4,0,"['드라마', '코미디']",51,15.0,3.0,두 번이나 엉망진창 크리스마스를 보낸 셀로 가족과 트왈라 가족. 이번엔 서로의 차이를 극복하고 뷰티와 스부의 첫아이를 열렬히 환영할 수 있을까?,https://images.justwatch.com/poster/302128841/s592/시즌-3,https://www.justwatch.com/images/backdrop/239819734/s1440/시즌-3,['http://www.netflix.com/title/81294417'],['Netflix']
