,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,Edge of the Unknown with Jimmy Chin,1.0,2022,75,7.9,0,['다큐멘터리'],23,,10.0,,https://images.justwatch.com/poster/300648955/s592/시즌-1,https://www.justwatch.com/images/backdrop/300648974/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fedge-of-the-unknown-with-jimmy-chin%2F1bjremriRj2I&subId3=justappsvod'],['Disney Plus']
1,디즈니: 힙합 호두까기 인형,,2022,64,5.4,0,"['음악', '코미디', '가족']",44,,,Features Rev Run as he brings audiences on a hip-hop reimagining of The Nutcracker ballet set in NYC.,https://images.justwatch.com/poster/301772249/s592/the-hip-hop-nutcracker,https://www.justwatch.com/images/backdrop/301772251/s1440/the-hip-hop-nutcracker,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fthe-hip-hop-nutcracker%2F3hgQ6A5n5EzL&subId3=justappsvod'],['Disney Plus']
2,산타 클로스,,1994,72,6.5,124000,"['드라마', '코미디', '가족', '판타지']",97,,,"완구 회사의 마케팅 팀장 스캇(Scott Calvin: 팀 알렌 분)은 최근 아내와 이혼하며 혼자 살며 전처 로라(Laura: 웬디 크루손 분)와의 사이에 찰리(Charlie: 에릭 로이드 분)란 아들이 있다. 이혼 후 스캇과 찰리의 어색하고 부자연한 관계는 '희한한' 운명의 장난에 의해 스캇이 산타 클로스가 되어버린 이후부터 따뜻하고 다정한 관계로 바뀌게 된다. 어느 크리스마스 이브, 산타 클로스가 스캇의 지붕에서 떨어져 죽었을 때, 스캇은 그의 옷 속에 간직된 카드의 조항대로 산타의 옷을 입게 된다. 그 순간 스캇과 찰리는 순록이 있는 마차에 이끌려 북극에 도착하게 된다. 그곳에서 이들 부자는 요정들의 대장인 버나드(Bernard: 데이비드 크룸훌츠 분)를 만난다. 버나드는 산타의 옷을 입는 순간, 그 옷을 입는 사람은 반드시 산타의 의무와 책임을 떠맡아야 한다는 조항을 스캇에게 들려준다. 스캇은 갑작스러운 자신의 신분 변화에 황당해 한다. 반면 찰리는 어떠한가? 당연히 날뛰듯 좋아한다. 졸지에 산타가 된 스캇은 그후 12개월 동안 몸무게가 늘더니 급기야 엄청나게 비대해져 버린다. 게다가 아침에 말끔히 면도를 해도 오후가 되면 덥수룩하게 턱수염과 구렛나루가 자라난다. 그는 나름대로 고군분투하며 자신의 모습을 변호하려고 애쓰지만 결국 산타의 모습을 인정하고 만다. 스캇은 찰리, 그리고 여덟 마리의 순록과 함께 산타의 존재를 증명하기 위한, 신나는 모험을 펼친다. 그리하여 마침내 스캇은 진짜 산타가 되어버린다.",https://images.justwatch.com/poster/147273336/s592/the-santa-clause,https://www.justwatch.com/images/backdrop/34509878/s1440/the-santa-clause,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fthe-santa-clause%2F3JPPheWC0SH5&subId3=justappsvod'],['Disney Plus']
3,욕심쟁이 오리아저씨 : 잃어버린 램프의 보물,,1990,74,6.8,27000,"['판타지', '애니메이션', '코미디', '가족', 'Made in Europe']",74,,,"스크루지 맥덕(Scrooge McDuck)과 그의 3명의 조카 휴이(Huey), 듀이(Dewey), 루이(Louie), 그리고 웨비게일 반더꽥(Webbigail Vanderquack)은 고대의 도적왕 콜리바바의 보물이 숨겨진 피라미드를 발견하여 40년간의 꿈을 이룰 기회를 잡는다. 그들은 침입자를 막기 위한 무서운 함정들을 돌파하는데 성공하지만, 안내인이던 디존(Dijon)이 그들을 배반하고 진짜 두목인 변태 마법사 멀록(Merlock)이 나타나 보물을 모두 가지고 일행은 수백년간을 굶고 있던 스모 씨름 선수 전갈에게 먹이로 던져주고 도망가 버린다. 보이스카웃의 지식과 지하에 흐르는 강물위를 빠르게 질주하여 간신히 그곳에서 탈출한 후, 맥덕은 자신의 손실을 슬퍼하며 앉아있었다.
 그때 웨비는 보불더미에서 가져온 낡은 램프를 주면서 그를 위로하려 한다. 하지만 불행한 구두쇠는 웨비에게 그것은 소꼽놀이할 때나 쓰라고 한다. 그 사이 멀록은 그의 부하에게 자신의 진짜 목적이던 램프가 사라진 것에 대해 엄청난 화를 내고 있으며, 그것을 찾아 나선다.
 웨비와 세 소년은 램프를 닦다가 그 속에 들어있던 급한 말투를 가진 커다란 오리 요정(Genie)을 불러낸다. 그는 끝없는 소원으로 자신에게 잔인한 일을 시키는 멀록으로부터 자유로와 지기를 갈망한다. 웨비, 휴이, 듀이, 루이는 각기 3개씩의 소원을 부여받는다. 세계에서 가장 큰 아이스 크림, 정원에 가득찬 장난감, 아이들 방의 모든 인형들에게 생명을 불어넣는 일. 스케이트 보드 운동복 차림의 요정은 진짜 소년이 되고 싶어한다. 그러나 사악한 멀록이 쥐로 변하여 집으로 숨어든다......",https://images.justwatch.com/poster/118672494/s592/yogsimjaengi-oriajeossi-ilheobeorin-raempeuyi-bomul,https://www.justwatch.com/images/backdrop/204354380/s1440/yogsimjaengi-oriajeossi-ilheobeorin-raempeuyi-bomul,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fducktales-the-movie-treasure-of-the-lost-lamp%2F7loUkd1trYEj&subId3=justappsvod'],['Disney Plus']
4,동물원의 비밀,1.0,2018,91,8.4,0,"['Reality TV', '다큐멘터리']",44,,6.0,,https://images.justwatch.com/poster/207079637/s592/시즌-1,https://www.justwatch.com/images/backdrop/207079551/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsecrets-of-the-zoo%2F1SlLvT8vU00E&subId3=justappsvod'],['Disney Plus']
5,동물원의 비밀,2.0,2019,91,8.4,0,"['Reality TV', '다큐멘터리']",44,,12.0,,https://images.justwatch.com/poster/207079634/s592/시즌-2,https://www.justwatch.com/images/backdrop/207079551/s1440/시즌-2,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsecrets-of-the-zoo%2F1SlLvT8vU00E&subId3=justappsvod'],['Disney Plus']
6,동물원의 비밀,3.0,2020,91,8.4,0,"['Reality TV', '다큐멘터리']",43,,11.0,Behind the scenes stories of the Columbus Zoo and Aquarium and The Wilds in Ohio.,https://images.justwatch.com/poster/207079628/s592/시즌-3,https://www.justwatch.com/images/backdrop/207079551/s1440/시즌-3,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsecrets-of-the-zoo%2F1SlLvT8vU00E&subId3=justappsvod'],['Disney Plus']
7,동물원의 비밀,4.0,2020,91,8.4,0,"['Reality TV', '다큐멘터리']",43,,8.0,,https://images.justwatch.com/poster/212317561/s592/시즌-4,https://www.justwatch.com/images/backdrop/207079551/s1440/시즌-4,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsecrets-of-the-zoo%2F1SlLvT8vU00E&subId3=justappsvod'],['Disney Plus']
8,동물원의 비밀,5.0,2018,91,8.4,0,"['Reality TV', '다큐멘터리']",44,,8.0,,https://images.justwatch.com/poster/252682276/s592/시즌-5,https://www.justwatch.com/images/backdrop/207079551/s1440/시즌-5,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsecrets-of-the-zoo%2F1SlLvT8vU00E&subId3=justappsvod'],['Disney Plus']
9,27번의 결혼리허설,,2008,70,6.1,168000,"['코미디', '로맨스']",111,,,"아늑한 아파트와 누구나 부러워하는 커리어 거기에 쾌활하고 당당한 성격까지.  성공한 뉴요커의 모든 것을 가진 제인(캐서린 헤이글 분). 하지만 그녀는 자신보다는 남들을 먼저 챙기고 늘 남의 결혼식에 매달려 있어 정작 자신의 사랑과 행복은 찾지 못한다. 여느 날처럼 두 개의 결혼식을 오가며 바쁜 들러리 역할을 하는 제인을 흥미롭게 바라보던 까칠한 냉소남 케빈은 우연히 제인의 다이어리를 손에 넣게 되고 빽빽하게 들어찬 수십개의 웨딩 플랜에 흥미를 느끼면서 의도적으로 접근하기 시작한다.  한편, 제인의 하나밖에 없는 동생이자 자신의 모든 것을 양보했던 동생 테스가 돌아오면서 그녀의 완벽했던 삶은 뒤죽박죽 엉켜 버린다. 바로 자신이 오랫동안 짝사랑했던 완소 매력남 조지가 초절정 섹시녀 테스에게 첫눈에 반한 것. 모든 것을 남들에게 맞춰 살아왔던 제인은 허탈함을 느끼고 잃어버렸던 자신을 찾기로 결심하는데…",https://images.justwatch.com/poster/123629529/s592/27-dresses,https://www.justwatch.com/images/backdrop/63478509/s1440/27-dresses,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2F27-dresses%2F2DEx4fm0Bzhe&subId3=justappsvod'],['Disney Plus']
10,Mormon No More,1.0,2022,67,6.8,0,['다큐멘터리'],50,,4.0,,https://images.justwatch.com/poster/301196060/s592/시즌-1,https://www.justwatch.com/images/backdrop/289518513/s1440/시즌-1,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fmormon-no-more%2F720d4W1SG9cy&subId3=justappsvod'],['Disney Plus']
11,크러쉬,,2022,78,6.3,7000,"['코미디', '로맨스']",92,,,"한 아티스트가 고교 육상 경기 팀에 합류할 것을 종용받고, 그는 이를 오랫동안 짝사랑하던 이와 이어질 기회로 삼는다. 하지만 곧 예상 밖의 팀원에게 빠져드는 자신을 발견하고, 진정한 사랑이 무엇인지 알게 된다.",https://images.justwatch.com/poster/272851022/s592/keureoswi,https://www.justwatch.com/images/backdrop/272851025/s1440/keureoswi,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fcrush%2F3yYm4OFERXi0&subId3=justappsvod'],['Disney Plus']
12,시스터 액트 2,,1993,67,5.6,55000,"['코미디', '가족', '음악']",107,,,"라스베가스 최고의 인기 가수가 된 들로리스에게 어느 날 수녀님들이 찾아와 도움을 청한다. 자신들이 선생으로 있는 학교의 아이들에게 음악을 가르쳐 달라는 것. 옛 정 때문에 할 수 없이 다시 수녀복을 입게 된 들로리스는 초반부터 못 말리는 문제아들에게 골탕을 먹고 두 손을 들고 만다. 그러나 우연히 학교의 이사가 학교를 폐쇄하려고 한다는 사실을 알게 된 들로리스는 다른 수녀님들과 힘을 합해 학교를 살리기로 마음먹고 특유의 끼를 발동한다. 아이들이 모두 음악에 소질이 있다는 걸 발견한 들로리스는 합창단을 만드는데, 처음에는 적대적이었던 학생들도 자신들의 숨은 재능을 발견해내고 희망을 갖게해 준 들로리스에게 마음을 열기 시작한다.  들로리스와 수녀님들은 합창대회에 참가해서 좋은 성적을 거두면 아이들에게도 자신감이 생기고 학교를 살리는데도 도움이 될 거라는 생각에 대회 참가를 추진하는데, 막상 대회가 열리는 날 들로리스가 클럽 가수라는 걸 알게 된 이사장과 교장은 합창단의 참가를 저지하러 출동한다. 한편 학생들은 다른 팀의 공연을 본 후 지레 겁을 먹고 포기하려하고, 들로리스는 아이들에게 용기를 불어넣어준다. 결국 아이들은 멋진 공연을 펼쳐 우승하고 학교의 폐교결정도 취소된다. 피날레를 장식하는 화려한 공연, ""오 해피데이""와 찬송가 ""기뻐하며 경배하세""를 비롯해 여러 귀에 익은 곡들이 어깨를 들썩이게 한다.",https://images.justwatch.com/poster/13578314/s592/siseuteo-aegteu-2,https://www.justwatch.com/images/backdrop/173934445/s1440/siseuteo-aegteu-2,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fsister-act-2-back-in-the-habit%2F1WbTetIWWl5b&subId3=justappsvod'],['Disney Plus']
